codice,"sito associazione",email
2,http://www.comune.rimini.it,protocollo.generale@pec.comune.rimini.it
3,http://www.comune.russi.ra.it,pg.comune.russi.ra.it@legalmail.it
4,http://www.comune.russi.ra.it,urp@comune.russi.ra.it
5,http://www.arcipadova.org,padova@arci.it
6,http://www.arcipadova.org,info@festacontinua.it
7,http://aimbitalia.it,info@aimbitalia.it
8,http://www.ardasantacroce.it/,info@ardasantacroce.it
9,http://www.kitoonlus.org/,info@kitoonlus.org
10,http://www.comune.segrate.mi.it,segrate@postemailcertificata.it
11,http://www.kitoonlus.org/,office@kitoonlus.org
12,http://www.comune.segrate.mi.it,urp@comune.segrate.mi.it
13,http://www.kitoonlus.org/,communication@kitoonlus.org
14,http://albertinomussato.org/,info@albertinomussato.org
15,http://www.coopi.org,coopi@coopi.org
16,http://www.provincia.pd.it,urp@provincia.padova.it
17,http://www.provincia.pd.it,web@provincia.padova.it
18,http://www.provincia.pd.it,provincia.padova@cert.ip-veneto.net
19,http://www.provincia.pd.it,presidente@provincia.padova.it
20,http://associazionevox.com,info@associazionevox.com
21,http://associazionevox.com,info@associazionevox.it
22,http://www.lafattoriaincitta.org/,lafattoriaincitta@virgilio.it
23,http://www.provincia.ra.it,urp@mail.provincia.ra.it
24,http://www.provincia.ra.it,provra@cert.provincia.ra.it
25,http://www.coritoscana.it,info@coritoscana.it
26,http://ciboenonsolo.it/,ortiamo@ciboenonsolo.it
27,http://ciboenonsolo.it/,pratoerbe@ciboenonsolo.it
28,http://ciboenonsolo.it/,m.crippa@ciboenonsolo.it
29,http://ciboenonsolo.it/,v.bartolomei@ciboenonsolo.it
30,http://ciboenonsolo.it/,s.facchin@ciboenonsolo.it
31,http://ciboenonsolo.it/,a.ruggiero@ciboenonsolo.it
32,http://www.lamusicainterna.it,info@lamusicainterna.it
33,http://www.provincia.re.it,info@provincia.re.it
34,http://comunicazioneinform.it,inform@mclink.it
35,http://www.corosantospirito.it/,info@corosantospirito.it
36,http://www.corosantospirito.it/,bighi.francesco@gmail.com
37,http://cucinacongalileo.altervista.org,incucinacongalileo@libero.it
38,http://www.psicologisenzafrontiere.org,psfitalia@gmail.com
39,http://www.laprimaweb.it,redazione@laprimaweb.it
40,http://cultura.regione.emilia-romagna.it,urp@regione.emilia-romagna.it
41,http://cultura.regione.emilia-romagna.it,urp@postacert.regione.emilia-romagna.it
42,http://cultura.regione.emilia-romagna.it,cultura@regione.emilia-romagna.it
43,http://www.corsincitta.it,info@corsincitta.it
44,http://www.lasferadanza.it/,festivalsferadanza@gmail.com
45,http://www.lasferadanza.it/,lasferadanza@gmail.com
46,http://www.cospe.org,cospe@cospe-fi.it
47,http://www.cospe.org,emiliaromagna@cospe.org
48,http://www.cospe.org,marche@cospe.org
49,http://www.cospe.org,veneto@cospe.org
50,http://www.cospe.org,liguria@cospe.org
51,http://www.cospe.org,cioni@cospe-fi.it
52,http://www.cospe.org,raccoltafondi@cospe-fi.it
53,http://www.cospe.org,amministrazione@cospe-fi.it
54,http://www.cralulss16.it/,mfarinazzo@libero.it
55,http://emiliaromagnaedintorni.it,hysen@libero.it
56,http://www.lav.it/sedi/padova,info@lav.it
57,http://www.rcv.veneto.it/,rcv.veneto@pec.csvpadova.org
58,http://www.rcv.veneto.it/,info@rcv.veneto.it
59,http://www.armoniedellasera.it,info@armoniedellasera.it
60,http://www.armoniedellasera.it,ufficiostampa@armoniedellasera.it
61,http://www.cripadova.it/,cp.padova@cri.it
62,http://www.cripadova.it/,andrea@lincetto.me
63,http://www.regazzo.org/,info@regazzo.org
65,http://www.art-musica.it,info@art-musica.it
66,http://www.lescuoledirecitazione.it,info@teatrodigioia.it
67,http://www.lescuoledirecitazione.it,accademiaspettacolo@gmail.com
68,http://www.regione.emilia-romagna.it,er@regione.emilia-romagna.it
69,http://www.regione.emilia-romagna.it,urp@regione.emilia-romagna.it
70,http://www.regione.emilia-romagna.it,urp@postacert.regione.emilia-romagna.it
71,http://www.artcityemiliaromagna.com,supportocitta@aptservizi.com
72,http://www.artcityemiliaromagna.com,supportoweb@aptservizi.com
73,http://www.lettere.unipd.it/cmp,scienzeumane@unipd.it
74,http://www.csibologna.it/,info@csibologna.it
75,http://www.csibologna.it/,presidenza@csibologna.it
76,http://www.csibologna.it/,amministrazione@csibologna.it
77,http://www.csibologna.it/,ufficiostampa@csibologna.it
78,http://www.csibologna.it/,attivitasportiva@csibologna.it
79,http://www.csibologna.it/,tesseramento@csibologna.it
80,http://www.csibologna.it/,formazione@csibologna.it
81,http://www.libertaegiustizia.it,info@libertaegiustizia.it
82,http://www.libertaegiustizia.it,stampa@libertaegiustizia.it
83,http://www.artmusicevent.eu/,info@artmusicevent.eu
84,http://www.ctgveneto.it/,ctgvenetocomunicazione@virgilio.it
85,http://www.ctgveneto.it/,ctg@ctg.it
86,http://www.ascomini1885.org/,ascomini@federscherma.it
87,http://www.ascomini1885.org/,ascomini@federscherma.it
88,http://www.cmarypoppins.com/,info@mary-poppins.it
89,http://www.cocolocopadova.it,info@cocolocopadova.it
90,http://www.cocolocopadova.it,presidente@cocolocopadova.it
91,http://www.cocolocopadova.it,nicola@cocolocopadova.it
92,http://www.cometaasmme.org,info@cometaasmme.org
93,http://www.cometaasmme.org,segreteria@cometaasmme.org
94,http://www.comune.modena.it,piazzagrande@comune.modena.it
95,http://www.comune.modena.it,comune.modena@cert.comune.modena.it
96,http://www.comune.modena.it,retecivica@comune.modena.it
97,http://www.cuamm.org/,cuamm@cuamm.org
98,http://www.cuc-cinemauno.it/,info@cuc-cinemauno.it
99,http://www.daccapo.org,info@daccapo.org
100,http://www.danza.it,direzione@pubbliweb.it
101,http://www.danza.it,info@danza.it
102,http://www.danza.it,info@pubbliweb.it
103,http://www.danza.it,info@danza.it
104,http://www.danzaurbana.it,INFO@DANZAURBANA.IT
105,http://www.danzaurbana.it,info@danzaurbana.it
106,http://www.dedicatonlus.info,info@dedicatonlus.info
107,http://www.deleofundonlus.org/,info@deleofundonlus.org
108,http://www.durgananda.it/,info@durgananda.it
109,http://www.enars.it/,info@enars.it
110,http://www.enars.it/,segreteria@enars.it
111,http://www.enars.it/,progettobea@enars.it
112,http://www.enars.it/,isabella@enars.it
113,http://www.energym-club.it/,energym.club@gmail.com
114,http://www.energym-club.it/,info@energym-club.it
115,http://www.energym-club.it/,energym.club@gmail.com
116,http://www.estatemusicalefrentana.it,segreteria@estatemusicalefrentana.it
117,http://www.euganeabonsai.org,info@euganeabonsai.org
